COD_DANE,Total_Viviendas,Casas,Casas_indigenas,Apartamento,Tipo_Cuarto,Electrica_SI,Electrica_NO,GasNatural_SI,GasNatur_NO,Alcantarillado_SI,Alcantarillado_NO,Acueducto_SI,Acueducto_NO,Total_Hogares,Total_Personas,HOMBRE,MUJER,Preescolar,Primaria,Secundaria,Especializacion,Ninguna_Educacion,No_responde
7300110000000000590101,37,23,,14,0,34,0,30,4,34,0,34,0,35,146,59,87,2,44,21,1,15,63
7300110000000000320703,30,16,,14,0,30,0,28,2,30,0,30,0,34,129,51,78,3,22,29,0,5,70
7300110000000000330935,156,35,,117,3,146,1,89,58,146,1,146,1,149,511,243,268,17,97,88,4,30,275
7300110000000000330221,15,14,,1,0,14,1,7,8,14,1,14,1,15,48,27,21,0,6,9,1,0,32
7300110000000000330103,36,34,,2,0,36,0,32,4,36,0,36,0,36,115,52,63,2,16,13,2,2,80
7300110000000000590402,53,43,,9,1,53,0,50,3,53,0,53,0,53,181,88,93,2,62,37,0,7,73
7300110000000000580504,19,13,,4,2,18,0,13,5,18,0,18,0,18,66,35,31,3,22,20,0,5,16
7300110000000000530416,38,23,,13,2,37,0,35,2,37,0,37,0,38,139,69,70,3,25,33,0,12,66
7300110000000000330318,5,5,,0,0,4,1,3,2,5,0,5,0,5,16,8,8,0,4,4,0,7,1
7300110000000000590715,6,3,,2,1,6,0,2,4,6,0,6,0,6,16,9,7,0,8,3,0,1,4
7300110000000000330341,17,6,,10,1,17,0,15,2,17,0,17,0,17,61,26,35,0,17,17,0,3,24
7300110000000000580301,55,8,,46,1,55,0,54,1,55,0,55,0,99,273,109,164,50,10,11,0,3,199
7300110000000000330915,12,7,,5,0,12,0,11,1,12,0,12,0,12,35,17,18,1,8,5,1,2,18
7300110000000000590207,35,32,,3,0,33,0,23,9,33,0,33,0,33,124,53,71,2,34,35,0,6,47
7300110000000000331122,28,22,,6,0,28,0,20,8,28,0,28,0,28,120,62,58,6,21,15,9,4,65
7300110000000000330243,26,18,,7,1,25,0,8,17,25,0,25,0,25,106,53,53,3,36,24,2,9,32
7300110000000000330335,17,14,,3,0,17,0,16,1,17,0,17,0,18,65,31,34,3,18,16,0,3,25
7300110000000000330102,53,35,,16,2,52,0,41,11,52,0,52,0,53,190,86,104,9,30,49,4,5,93
7300110000000000130307,31,30,,1,0,29,0,27,2,29,0,29,0,29,126,66,60,4,12,21,8,5,76
7300110000000000140414,10,5,,4,1,10,0,10,0,10,0,10,0,10,43,16,27,2,10,8,0,3,20
7300110000000000590505,18,14,,4,0,16,0,11,5,16,0,16,0,18,73,40,33,0,25,17,0,11,20
7300110000000000580508,34,32,,2,0,33,0,23,10,33,0,33,0,33,115,47,68,3,33,36,0,4,39
7300110000000000580322,20,18,,1,1,19,0,19,0,19,0,19,0,21,78,38,40,0,24,17,0,6,31
7300110000000000330217,17,13,,4,0,16,0,13,3,16,0,16,0,16,49,20,29,2,4,6,0,0,37
7300110000000000580505,30,30,,0,0,26,0,17,9,26,0,26,0,26,81,40,41,2,17,21,3,3,35
7300110000000000330328,29,19,,10,0,29,0,24,5,29,0,29,0,30,119,52,67,2,35,26,0,3,53
7300110000000000580114,38,24,,11,3,38,0,32,6,38,0,38,0,40,141,65,76,5,43,24,2,8,59
7300110000000000580115,37,26,,11,0,37,0,32,5,36,1,37,0,38,152,77,75,3,53,41,0,6,49
7300110000000000330407,34,21,,11,2,33,0,28,5,33,0,33,0,47,152,70,82,5,40,34,0,10,63
7300110000000000331111,33,24,,9,0,33,0,30,3,33,0,33,0,34,119,59,60,2,22,17,5,3,70
7300110000000000580112,19,17,,2,0,16,1,11,6,17,0,17,0,17,53,22,31,0,16,15,0,4,18
7300110000000000730239,38,14,,17,7,37,1,23,15,35,3,35,3,39,158,70,88,1,69,36,0,27,25
7300110000000000330338,6,5,,0,1,6,0,4,2,6,0,6,0,7,26,13,13,1,9,6,0,2,8
7300110000000000590716,100,92,,1,7,100,0,22,78,41,59,78,22,105,433,202,231,14,191,66,0,89,73
7300110000000000140118,45,21,,22,2,44,1,37,8,44,1,44,1,47,154,78,76,5,35,30,5,5,74
7300110000000000590407,37,23,,14,0,37,0,31,6,37,0,37,0,39,142,64,78,5,37,33,1,9,57
7300110000000000560719,99,1,,98,0,91,0,55,36,91,0,91,0,93,260,114,146,9,47,30,5,4,165
7300110000000000580411,23,23,,0,0,22,0,18,4,22,0,22,0,22,66,27,39,0,22,15,1,7,21
7300110000000000330249,21,18,,2,1,21,0,17,4,21,0,21,0,22,81,35,46,4,17,24,2,2,32
7300110000000000330804,12,8,,4,0,12,0,11,1,12,0,12,0,14,49,25,24,1,18,8,3,4,15
7300110000000000580414,26,22,,2,2,22,0,19,3,22,0,22,0,22,76,36,40,1,28,17,0,6,24
7300110000000000580513,24,23,,1,0,22,0,17,5,22,0,22,0,22,79,34,45,2,19,22,1,2,33
7300110000000000590603,25,21,,4,0,25,0,25,0,25,0,25,0,26,121,57,64,4,34,24,1,9,49
7300110000000000330229,18,17,,1,0,18,0,14,4,18,0,18,0,18,60,29,31,0,5,7,1,1,46
7300110000000000331113,31,26,,4,1,31,0,26,5,31,0,31,0,32,118,48,70,2,19,17,5,5,70
7300110000000000330507,35,13,,21,1,33,0,24,9,33,0,33,0,34,106,48,58,4,31,19,0,7,45
7300110000000000590410,45,32,,12,0,44,1,42,3,44,1,45,0,46,164,71,93,2,34,42,1,7,78
7300110000000000580310,15,10,,4,1,15,0,11,3,15,0,15,0,18,54,26,28,0,17,12,0,3,22
7300110000000000580514,22,22,,0,0,22,0,18,4,22,0,22,0,22,91,38,53,2,22,23,0,4,40
7300110000000000330305,27,23,,4,0,27,0,21,6,27,0,27,0,31,116,59,57,8,30,27,2,5,44
7300110000000000320704,38,22,,13,3,38,0,24,13,38,0,38,0,42,140,64,76,0,42,33,0,7,58
7300110000000000530107,27,23,,4,0,26,0,22,4,26,0,26,0,29,112,52,60,5,27,25,0,3,52
7300110000000000140409,16,9,,7,0,16,0,11,5,16,0,16,0,17,48,20,28,0,13,11,0,1,23
7300110000000000590412,38,7,,28,3,37,0,24,13,37,0,37,0,37,116,57,59,3,24,28,1,9,51
7300110000000000330821,47,20,,19,8,46,0,39,7,46,0,46,0,46,165,65,100,4,43,34,2,5,77
7300110000000000590215,68,66,,2,0,67,0,66,1,67,0,67,0,124,321,156,165,2,67,11,0,1,240
7300110000000000580320,20,19,,1,0,19,0,16,3,19,0,19,0,19,80,39,41,3,25,17,0,5,30
7300110000000000140307,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7300110000000000590205,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7300110000000000130422,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7300110000000000560722,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7300110000000000560824,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7300110000000000330117,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7300110000000000140126,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7300110000000000560818,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7300110000000000330925,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7300110000000000560721,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7300110000000000590618,23,18,,3,2,21,0,14,3,21,0,21,0,21,66,32,34,4,21,17,0,8,16
7300110000000000580304,37,34,,3,0,37,0,33,4,37,0,37,0,40,118,55,63,1,35,22,0,12,48
7300110000000000590718,4,1,,0,3,4,0,0,4,4,0,4,0,4,9,6,3,0,2,1,0,5,1
7300110000000000130206,20,16,,4,0,20,0,15,5,20,0,20,0,20,72,35,37,2,10,15,5,2,38
7300110000000000590122,29,19,,9,1,29,0,26,2,29,0,29,0,30,112,45,67,1,38,31,0,8,34
7300110000000000330302,14,8,,6,0,14,0,12,2,14,0,14,0,14,46,26,20,1,23,12,0,4,6
7300110000000000560821,35,33,,2,0,35,0,31,4,35,0,35,0,36,143,64,79,6,37,24,7,7,62
7300110000000000590307,25,23,,2,0,23,0,15,8,23,0,23,0,26,92,53,39,1,27,25,0,6,33
7300110000000000560816,14,12,,2,0,14,0,12,2,14,0,14,0,15,60,29,31,4,11,9,3,0,33
7300110000000000730103,22,17,,3,2,22,0,13,9,22,0,22,0,22,106,54,52,2,43,25,0,12,24
7300110000000000330101,67,35,,32,0,66,0,55,11,66,0,66,0,67,261,114,147,8,46,39,4,8,156
7300110000000000331115,36,25,,11,0,36,0,30,6,36,0,36,0,36,126,54,72,3,29,12,5,4,73
7300110000000000130227,18,18,,0,0,18,0,14,4,18,0,18,0,18,68,29,39,2,11,9,0,1,45
7300110000000000330939,54,0,,54,0,54,0,54,0,54,0,54,0,103,262,127,135,2,103,51,1,1,104
7300110000000000130208,54,44,,10,0,54,0,44,10,54,0,54,0,54,198,88,110,5,25,41,12,0,115
7300110000000000560701,32,32,,0,0,31,0,29,2,31,0,31,0,31,115,52,63,3,37,18,3,4,50
7300110000000000590103,37,33,,4,0,37,0,29,8,37,0,37,0,40,158,74,84,4,57,33,0,15,49
7300110000000000330924,34,11,,18,5,32,0,25,7,32,0,32,0,32,126,55,71,6,42,21,0,4,53
7300110000000000560117,91,69,,19,3,89,0,74,15,89,0,89,0,91,375,179,196,20,110,73,11,17,144
7300110000000000320702,29,21,,6,0,27,2,23,6,27,2,28,1,31,118,53,65,2,36,26,0,7,47
7300110000000000590706,24,17,,4,3,24,0,12,12,24,0,24,0,29,111,49,62,6,46,26,0,11,22
7300110000000000330425,37,22,,14,1,33,0,24,9,31,2,33,0,34,129,64,65,1,44,33,0,9,42
7300110000000000330820,88,57,,25,6,87,0,76,11,87,0,87,0,88,295,138,157,4,90,78,0,12,111
7300110000000000330528,47,24,,23,0,41,1,34,8,42,0,41,1,42,166,74,92,5,45,40,0,9,67
7300110000000000331110,30,24,,5,1,30,0,28,2,30,0,30,0,30,118,53,65,2,17,15,10,0,74
7300110000000000560809,74,72,,2,0,74,0,73,1,74,0,74,0,136,360,176,184,1,16,9,3,5,326
7300110000000000330808,21,15,,6,0,21,0,17,4,21,0,21,0,24,97,47,50,3,39,19,2,13,21
7300110000000000580107,26,25,,1,0,26,0,19,7,26,0,26,0,27,100,48,52,3,31,20,0,5,41
7300110000000000590415,28,17,,11,0,28,0,23,5,28,0,28,0,28,105,53,52,5,24,33,0,6,37
7300110000000000530112,21,16,,4,1,20,0,18,2,20,0,20,0,22,91,37,54,2,20,22,0,6,41
7300110000000000560128,137,128,,7,2,128,0,108,20,128,0,128,0,133,463,204,259,10,112,86,5,19,231
7300110000000000330314,4,4,,0,0,4,0,3,1,4,0,4,0,5,20,9,11,0,4,10,0,0,6
7300110000000000590104,52,51,,0,1,51,0,40,11,51,0,51,0,54,193,90,103,5,70,44,0,13,61
7300110000000000590619,26,22,,2,2,26,0,14,12,26,0,26,0,29,132,57,75,3,64,24,0,27,14
7300110000000000580329,76,21,,2,2,20,54,4,68,14,60,63,11,76,280,130,150,10,140,48,0,40,42
7300110000000000580324,31,26,,4,1,31,0,30,1,31,0,31,0,33,128,62,66,4,43,20,0,6,55
7300110000000000330301,26,22,,2,2,25,0,21,4,25,0,25,0,27,115,57,58,3,42,25,0,9,36
7300110000000000530427,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7300110000000000730212,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7300110000000000590728,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7300110000000000530428,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7300110000000000590602,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7300110000000000140123,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7300110000000000580408,24,22,,1,1,24,0,16,8,23,1,24,0,24,95,42,53,3,30,25,0,7,30
7300110000000000590203,30,27,,3,0,30,0,29,1,30,0,30,0,30,110,50,60,6,29,22,0,10,43
7300110000000000730240,25,11,,13,1,22,0,14,8,22,0,22,0,22,77,42,35,2,23,15,0,29,8
7300110000000000331112,20,17,,3,0,19,0,17,2,19,0,19,0,22,68,35,33,0,10,7,8,1,42
7300110000000000130329,427,123,,275,9,387,20,290,117,380,27,386,21,407,1367,650,717,46,276,209,50,59,727
7300110000000000330122,40,33,,7,0,40,0,35,5,40,0,40,0,40,146,63,83,4,30,24,8,1,79
7300110000000000330803,9,5,,4,0,9,0,8,1,9,0,9,0,9,37,16,21,0,11,8,1,5,12
7300110000000000560138,15,8,,7,0,15,0,11,4,15,0,15,0,15,59,28,31,1,26,11,0,2,19
7300110000000000590611,22,16,,6,0,22,0,18,4,22,0,22,0,25,114,55,59,3,57,21,0,12,21
7300110000000000590616,20,18,,1,1,20,0,9,11,20,0,20,0,24,95,45,50,3,50,14,0,10,18
7300110000000000320614,36,27,,9,0,34,0,20,13,30,4,34,0,35,131,58,73,2,39,25,0,12,53
7300110000000000590610,18,14,,4,0,17,0,12,5,17,0,17,0,19,89,43,46,2,40,19,0,11,17
7300110000000000330911,203,102,,92,9,198,0,187,11,198,0,198,0,221,751,345,406,16,218,147,0,43,327
7300110000000000560709,38,32,,6,0,38,0,32,6,38,0,38,0,38,131,52,79,11,25,20,7,1,67
7300110000000000330315,25,20,,5,0,25,0,19,6,25,0,25,0,31,118,61,57,3,38,34,0,7,36
7300110000000000130302,21,18,,3,0,21,0,20,1,21,0,21,0,21,70,34,36,0,9,10,0,1,50
7300110000000000590719,34,32,,2,0,34,0,32,2,34,0,34,0,37,135,69,66,6,28,29,3,2,67
7300110000000000590720,18,15,,3,0,18,0,14,4,18,0,18,0,18,63,31,32,1,16,13,1,1,31
7300110000000000590721,31,29,,2,0,30,0,29,1,30,0,30,0,30,101,47,54,4,18,26,4,4,45
7300110000000000590209,39,39,,0,0,38,0,31,7,38,0,38,0,38,133,60,73,1,44,21,0,10,57
7300110000000000590112,27,18,,7,2,27,0,25,2,27,0,27,0,30,118,62,56,6,37,24,1,5,45
7300110000000000590701,80,57,,17,6,79,0,64,15,79,0,79,0,81,261,120,141,15,66,56,1,10,113
7300110000000000330210,49,26,,15,8,47,1,26,22,48,0,47,1,48,166,87,79,3,47,30,0,11,75
7300110000000000580111,17,16,,1,0,16,1,14,3,16,1,16,1,17,56,26,30,1,17,15,0,1,22
7300110000000000560808,75,1,,74,0,70,0,59,11,70,0,70,0,71,201,89,112,8,39,23,12,2,117
7300110000000000560717,79,5,,74,0,72,0,54,18,72,0,72,0,73,214,96,118,14,28,35,8,5,124
7300110000000000580117,36,23,,9,3,35,1,31,5,34,2,36,0,37,149,66,83,2,41,28,1,10,67
7300110000000000590523,76,70,,6,0,76,0,70,5,76,0,75,1,77,268,130,138,11,65,61,3,11,117
7300110000000000320610,32,26,,5,1,32,0,28,4,32,0,32,0,34,152,68,84,3,38,36,2,8,65
7300110000000000590401,19,4,,13,2,18,0,15,3,18,0,18,0,20,73,36,37,0,15,17,0,7,34
7300110000000000590506,20,10,,8,2,20,0,13,7,20,0,20,0,20,77,37,40,0,30,18,0,12,17
7300110000000000340207,76,39,,31,6,74,0,33,39,61,13,72,2,77,260,134,126,10,88,54,1,21,86
7300110000000000590314,24,18,,4,2,23,0,17,6,23,0,23,0,23,105,54,51,3,42,15,0,12,33
7300110000000000590524,79,54,,20,5,76,1,63,14,77,0,76,1,81,322,151,171,13,94,96,1,21,97
7300110000000000590306,34,34,,0,0,33,0,22,11,33,0,33,0,33,134,61,73,7,48,26,0,14,39
7300110000000000590114,51,51,,0,0,48,0,31,17,48,0,48,0,48,190,94,96,6,73,42,0,23,46
7300110000000000580512,35,31,,4,0,34,0,22,12,33,1,33,1,34,120,62,58,4,28,27,0,7,54
7300110000000000590305,33,31,,1,1,33,0,24,9,32,1,33,0,34,147,63,84,1,63,39,0,9,35
7300110000000000331101,35,29,,6,0,34,0,33,1,34,0,34,0,34,127,55,72,3,17,20,9,1,77
7300110000000000560106,6,5,,1,0,6,0,4,2,6,0,6,0,6,22,9,13,0,7,2,0,5,8
7300110000000000580119,42,21,,19,2,40,0,34,6,40,0,40,0,41,165,71,94,4,56,37,1,13,54
7300110000000000320712,40,23,,16,1,40,0,29,8,40,0,40,0,42,176,72,104,3,48,29,0,10,86
7300110000000000330813,100,96,,4,0,97,2,79,20,97,2,97,2,106,384,184,200,17,92,71,2,18,184
7300110000000000580326,22,16,,5,1,22,0,18,3,20,2,20,2,22,85,46,39,0,29,20,0,2,34
7300110000000000130125,264,248,,16,0,256,0,217,39,255,1,256,0,260,949,436,513,60,210,188,27,24,440
7300110000000000730101,79,15,,62,2,75,2,59,18,75,2,75,2,81,288,136,152,9,63,66,3,16,131
7300110000000000590703,26,23,,3,0,26,0,21,5,26,0,26,0,28,95,41,54,4,33,20,0,8,30
7300110000000000330333,33,17,,15,1,33,0,27,6,33,0,33,0,33,143,73,70,1,44,39,0,15,44
7300110000000000580321,23,21,,0,2,23,0,18,5,23,0,23,0,23,80,40,40,4,26,27,1,1,21
7300110000000000580121,36,19,,17,0,35,0,29,6,35,0,35,0,36,130,60,70,6,33,32,0,5,54
7300110000000000560807,28,23,,5,0,28,0,25,3,28,0,28,0,28,106,45,61,3,17,21,7,2,56
7300110000000000331132,4,4,,0,0,4,0,4,0,4,0,4,0,4,12,4,8,0,3,1,2,1,5
7300110000000000590123,16,12,,4,0,16,0,14,2,16,0,16,0,17,73,35,38,2,23,13,0,3,32
7300110000000000590705,34,28,,3,3,34,0,18,13,33,1,30,4,41,161,74,87,3,69,38,0,22,29
7300110000000000330403,39,12,,25,2,38,0,28,10,38,0,38,0,38,144,69,75,1,37,30,0,16,60
7300110000000000730108,9,3,,5,1,9,0,4,5,9,0,9,0,9,27,12,15,1,5,8,0,1,12
7300110000000000330118,31,7,,19,5,31,0,27,4,31,0,31,0,31,102,53,49,4,38,28,0,7,25
7300110000000000580415,28,22,,3,3,25,0,20,5,25,0,25,0,25,90,42,48,1,26,19,0,6,38
7300110000000000560712,65,63,,2,0,65,0,11,54,65,0,65,0,118,298,150,148,2,62,7,0,2,225
7300110000000000580308,15,10,,3,2,15,0,11,3,15,0,15,0,18,49,20,29,1,18,9,0,5,16
7300110000000000560718,4,2,,2,0,4,0,4,0,4,0,4,0,4,16,6,10,0,5,5,0,3,3
7300110000000000560819,37,35,,1,1,36,0,32,4,36,0,36,0,36,132,63,69,4,32,21,1,4,70
7300110000000000590301,21,20,,0,1,20,0,16,4,20,0,20,0,24,101,42,59,0,51,16,0,8,26
7300110000000000560805,74,71,,3,0,73,1,69,5,73,1,73,1,135,351,172,179,2,135,13,4,1,196
7300110000000000590620,34,31,,1,2,31,1,16,16,31,1,31,1,35,152,71,81,3,71,33,0,17,28
7300110000000000590124,7,6,,1,0,3,0,3,0,3,0,3,0,3,12,8,4,0,5,1,0,2,4
7300110000000000331107,28,27,,1,0,28,0,22,6,28,0,28,0,28,92,38,54,2,17,9,2,1,61
7300110000000000130311,25,0,,25,0,25,0,25,0,25,0,25,0,25,80,37,43,4,13,12,4,1,46
7300110000000000590224,33,22,,11,0,33,0,28,5,33,0,33,0,33,128,66,62,3,30,27,1,8,59
7300110000000000590724,34,34,,0,0,30,0,21,9,30,0,30,0,31,113,52,61,7,33,19,1,1,52
7300110000000000590722,26,26,,0,0,25,0,22,3,25,0,25,0,27,111,50,61,0,33,15,4,5,54
7300110000000000730127,5,1,,3,1,5,0,4,1,5,0,5,0,5,18,9,9,0,8,5,0,2,3
7300110000000000330205,4,4,,0,0,4,0,4,0,4,0,4,0,4,10,3,7,1,2,2,0,0,5
7300110000000000330104,34,33,,1,0,33,0,29,4,33,0,33,0,34,130,61,69,1,21,22,7,2,77
7300110000000000590318,37,31,,3,1,31,4,11,24,31,4,34,1,35,146,72,74,2,80,15,0,24,25
7300110000000000590414,26,14,,12,0,24,0,19,5,24,0,24,0,25,100,47,53,3,32,13,0,5,47
